,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
95,Dawn of the Planet of the Apes,['Matt Reeves'],"['Rick Jaffa', ' Amanda Silver', ' Mark Bomback']","['Andy Serkis ', 'Jason Clarke ', 'Gary Oldman ', 'Keri Russell ', 'Kodi Smit-McPhee ']",90,88
96,Snow White and the Huntsman,['Rupert Sanders'],"['Hossein Amini', ' Rupert Sanders', ' Evan Daugherty', ' John Lee Hancock']","['Kristen Stewart ', 'Chris Hemsworth ', 'Charlize Theron ', 'Sam Claflin ', 'Sam Spruell ']",49,52
97,Terminator 3: Rise of the Machines,['Jonathan Mostow'],"['Michael Ferris', ' John Brancato', ' Tedi Sarafian']","['Arnold Schwarzenegger ', 'Nick Stahl ', 'Claire Danes ', 'Kristanna Loken ', 'David Andrews ']",69,46
98,Van Helsing,['Stephen Sommers'],['Stephen Sommers'],"['Hugh Jackman ', 'Kate Beckinsale ', 'Richard Roxburgh ', 'David Wenham ', 'Shuler Hensley ']",24,57
99,Dumbo,"['Sam Armstrong', ' Jack Kinney', ' Norman Ferguson', ' Wilfred Jackson', ' Bill Roberts', ' Ben Sharpsteen', ' Samuel Armstrong']","['Joe Grant', ' Dick Huemer', ' Joe Rinaldi', ' Webb Smith', ' Otto Englander', ' Aurelius Battaglia', ' Bill Peet']","['Sterling Holloway ', 'Jesper Klein ', 'Edward S. Brophy ', 'Lily Broberg ', 'Herman Bing ']",98,70
100,Godzilla: King of the Monsters,"['Terrell O. Morse', ' Ishirô Honda', ' Terry Morse']","['Al C. Ward', ' Ishirô Honda', ' Takeo Murata']","['Raymond Burr ', 'Takashi Shimura ', 'Momoko Kochi ', 'Akira Takarada ', 'Akihiko Hirata ']",83,73
101,Alita: Battle Angel,['Robert Rodriguez'],"['James Cameron', ' Laeta Kalogridis', ' Robert Rodriguez']","['Rosa Salazar ', 'Christoph Waltz ', 'Jennifer Connelly ', 'Mahershala Ali ', 'Ed Skrein ']",61,92
102,Shrek Forever After,['Mike Mitchell'],"['Josh Klausner', ' Darren Lemke']","['Mike Myers ', 'Eddie Murphy ', 'Cameron Diaz ', 'Antonio Banderas ', 'Julie Andrews ']",58,54
103,Big Hero 6,"['Chris Williams (IX) ', ' Don Hall']","['Jordan Roberts', ' Daniel Gerson']","['Ryan Potter ', 'Scott Adsit ', 'Jamie Chung ', 'Damon Wayans Jr. ', 'Daniel Henney ']",89,91
104,How to Train Your Dragon,"['Dean DeBlois', ' Chris Sanders']","['Chris Sanders', ' Dean DeBlois', ' William Davies']","['Jay Baruchel ', 'Gerard Butler ', 'Craig Ferguson ', 'America Ferrera ', 'Jonah Hill ']",99,91
105,Wreck-It Ralph,['Rich Moore'],"['Jennifer Lee', ' Phil Johnston']","['John C. Reilly ', 'Sarah Silverman ', 'Jack McBrayer ', 'Alan Tudyk ', 'Mindy Kaling ']",87,86
106,Interstellar,['Christopher Nolan'],"['Christopher Nolan', ' Jonathan Nolan']","['Matthew McConaughey ', 'Anne Hathaway ', 'Jessica Chastain ', 'Michael Caine ', '']",72,85
